آزادگان,نعمت آباد,عبدل آباد,شهرك شريعتي,زمـزم,جوادیه,راه آهن,مهديه,منیریه,تئاتر شهر,ميدان وليعصر (عج),ميدان جهاد,ميرزاي شيرازي,شهید بهشتی,سهروردي,شهيد قدوسي,شهيد صياد شيرازي,خواجه عبداله انصاري,شهيد زين الدين,هروي,حسين آباد,نوبنياد,شهيد محلاتي,قائم
34,33,32,31,103,29,28,27,26,104,22,105,20,19,18,17,16,15,14,13,12,11,9,8
05:30,05:31,05:33,05:35,05:37,05:39,05:41,05:44,05:46,05:49,05:53,05:56,05:59,06:02,06:04,06:06,06:08,06:11,06:14,06:16,06:18,06:20,06:25,06:30
05:39,05:40,05:42,05:44,05:46,05:48,05:50,05:53,05:55,05:58,06:02,06:05,06:08,06:11,06:13,06:15,06:17,06:20,06:23,06:25,06:27,06:29,06:34,06:39
05:48,05:49,05:51,05:53,05:55,05:57,05:59,06:02,06:04,06:07,06:11,06:14,06:17,06:20,06:22,06:24,06:26,06:29,06:32,06:34,06:36,06:38,06:43,06:48
05:57,05:58,06:00,06:02,06:04,06:06,06:08,06:11,06:13,06:16,06:20,06:23,06:26,06:29,06:31,06:33,06:35,06:38,06:41,06:43,06:45,06:47,06:52,06:57
06:06,06:07,06:09,06:11,06:13,06:15,06:17,06:20,06:22,06:25,06:29,06:32,06:35,06:38,06:40,06:42,06:44,06:47,06:50,06:52,06:54,06:56,07:01,07:06
06:15,06:16,06:18,06:20,06:22,06:24,06:26,06:29,06:31,06:34,06:38,06:41,06:44,06:47,06:49,06:51,06:53,06:56,06:59,07:01,07:03,07:05,07:10,07:15
06:24,06:25,06:27,06:29,06:31,06:33,06:35,06:38,06:40,06:43,06:47,06:50,06:53,06:56,06:58,07:00,07:02,07:05,07:08,07:10,07:12,07:14,07:19,07:24
06:33,06:34,06:36,06:38,06:40,06:42,06:44,06:47,06:49,06:52,06:56,06:59,07:02,07:05,07:07,07:09,07:11,07:14,07:17,07:19,07:21,07:23,07:28,07:33
06:42,06:43,06:45,06:47,06:49,06:51,06:53,06:56,06:58,07:01,07:05,07:08,07:11,07:14,07:16,07:18,07:20,07:23,07:26,07:28,07:30,07:32,07:37,07:42
06:51,06:52,06:54,06:56,06:58,07:00,07:02,07:05,07:07,07:10,07:14,07:17,07:20,07:23,07:25,07:27,07:29,07:32,07:35,07:37,07:39,07:41,07:46,07:51
07:00,07:01,07:03,07:05,07:07,07:09,07:11,07:14,07:16,07:19,07:23,07:26,07:29,07:32,07:34,07:36,07:38,07:41,07:44,07:46,07:48,07:50,07:55,08:00
07:09,07:10,07:12,07:14,07:16,07:18,07:20,07:23,07:25,07:28,07:32,07:35,07:38,07:41,07:43,07:45,07:47,07:50,07:53,07:55,07:57,07:59,08:04,08:09
07:18,07:19,07:21,07:23,07:25,07:27,07:29,07:32,07:34,07:37,07:41,07:44,07:47,07:50,07:52,07:54,07:56,07:59,08:02,08:04,08:06,08:08,08:13,08:18
07:27,07:28,07:30,07:32,07:34,07:36,07:38,07:41,07:43,07:46,07:50,07:53,07:56,07:59,08:01,08:03,08:05,08:08,08:11,08:13,08:15,08:17,08:22,08:27
07:36,07:37,07:39,07:41,07:43,07:45,07:47,07:50,07:52,07:55,07:59,08:02,08:05,08:08,08:10,08:12,08:14,08:17,08:20,08:22,08:24,08:26,08:31,08:36
07:45,07:46,07:48,07:50,07:52,07:54,07:56,07:59,08:01,08:04,08:08,08:11,08:14,08:17,08:19,08:21,08:23,08:26,08:29,08:31,08:33,08:35,08:40,08:45
07:54,07:55,07:57,07:59,08:01,08:03,08:05,08:08,08:10,08:13,08:17,08:20,08:23,08:26,08:28,08:30,08:32,08:35,08:38,08:40,08:42,08:44,08:49,08:54
08:03,08:04,08:06,08:08,08:10,08:12,08:14,08:17,08:19,08:22,08:26,08:29,08:32,08:35,08:37,08:39,08:41,08:44,08:47,08:49,08:51,08:53,08:58,09:03
08:12,08:13,08:15,08:17,08:19,08:21,08:23,08:26,08:28,08:31,08:35,08:38,08:41,08:44,08:46,08:48,08:50,08:53,08:56,08:58,09:00,09:02,09:07,09:12
08:21,08:22,08:24,08:26,08:28,08:30,08:32,08:35,08:37,08:40,08:44,08:47,08:50,08:53,08:55,08:57,08:59,09:02,09:05,09:07,09:09,09:11,09:16,09:21
08:30,08:31,08:33,08:35,08:37,08:39,08:41,08:44,08:46,08:49,08:53,08:56,08:59,09:02,09:04,09:06,09:08,09:11,09:14,09:16,09:18,09:20,09:25,09:30
08:39,08:40,08:42,08:44,08:46,08:48,08:50,08:53,08:55,08:58,09:02,09:05,09:08,09:11,09:13,09:15,09:17,09:20,09:23,09:25,09:27,09:29,09:34,09:39
08:48,08:49,08:51,08:53,08:55,08:57,08:59,09:02,09:04,09:07,09:11,09:14,09:17,09:20,09:22,09:24,09:26,09:29,09:32,09:34,09:36,09:38,09:43,09:48
08:57,08:58,09:00,09:02,09:04,09:06,09:08,09:11,09:13,09:16,09:20,09:23,09:26,09:29,09:31,09:33,09:35,09:38,09:41,09:43,09:45,09:47,09:52,09:57
09:06,09:07,09:09,09:11,09:13,09:15,09:17,09:20,09:22,09:25,09:29,09:32,09:35,09:38,09:40,09:42,09:44,09:47,09:50,09:52,09:54,09:56,10:01,10:06
09:15,09:16,09:18,09:20,09:22,09:24,09:26,09:29,09:31,09:34,09:38,09:41,09:44,09:47,09:49,09:51,09:53,09:56,09:59,10:01,10:03,10:05,10:10,10:15
09:24,09:25,09:27,09:29,09:31,09:33,09:35,09:38,09:40,09:43,09:47,09:50,09:53,09:56,09:58,10:00,10:02,10:05,10:08,10:10,10:12,10:14,10:19,10:24
09:33,09:34,09:36,09:38,09:40,09:42,09:44,09:47,09:49,09:52,09:56,09:59,10:02,10:05,10:07,10:09,10:11,10:14,10:17,10:19,10:21,10:23,10:28,10:33
09:42,09:43,09:45,09:47,09:49,09:51,09:53,09:56,09:58,10:01,10:05,10:08,10:11,10:14,10:16,10:18,10:20,10:23,10:26,10:28,10:30,10:32,10:37,10:42
09:51,09:52,09:54,09:56,09:58,10:00,10:02,10:05,10:07,10:10,10:14,10:17,10:20,10:23,10:25,10:27,10:29,10:32,10:35,10:37,10:39,10:41,10:46,10:51
10:00,10:01,10:03,10:05,10:07,10:09,10:11,10:14,10:16,10:19,10:23,10:26,10:29,10:32,10:34,10:36,10:38,10:41,10:44,10:46,10:48,10:50,10:55,11:00
10:09,10:10,10:12,10:14,10:16,10:18,10:20,10:23,10:25,10:28,10:32,10:35,10:38,10:41,10:43,10:45,10:47,10:50,10:53,10:55,10:57,10:59,11:04,11:09
